,Biomass,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Geothermal,Hydro Run-of-river and poundage,Hydro Water Reservoir,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore,Generation,Storage Discharge,Storage Charge,Demand,Total Generation,Total Load,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-23 09:00:00+00:00,4529.320768,10652.4142775,516.734995,13672.7218025,5942.032865,108.08166750000001,28.89986,1130.2321650000001,60.1179,320.13896,81.17323999999999,11651.542962,737.965975,7627.76625,17276.077838,74335.22152549999,687.9845,0.0,75935.9804675,75023.2060255,75935.9804675,-912.774442000009,None,DE_LU,2026-04-23
2026-01-23 10:00:00+00:00,4227.77904,9764.3384775,475.19583,12537.5403175,5029.756125,107.98,29.65501,1108.415815,30.00875,319.81821,85.11397,16170.052353000001,743.2382,8234.981749999999,17226.316049,76090.18989699999,0.0,638.049075,75042.0722925,76090.18989699999,75680.1213675,410.06852949998574,None,DE_LU,2026-04-23
2026-01-23 11:00:00+00:00,4117.251617,9461.210655,484.2774975,12037.468550000001,4722.4407575000005,108.015,31.84958,1115.79494,22.045250000000003,319.22896000000003,83.57839799999999,17750.582039,747.29595,8114.8055,18039.203582000002,77155.048276,0.0,1854.33905,73011.08661500001,77155.048276,74865.425665,2289.622610999999,None,DE_LU,2026-04-23
2026-01-23 12:00:00+00:00,4118.009798,9574.516767500001,434.90689499999996,11882.92772,4569.4487375,108.1341675,31.40205,1136.742765,30.77375,318.83096,82.02688599999999,16197.277365,742.70615,8001.397,18594.35813,75823.4591415,0.0,2747.0896000000002,71300.702775,75823.4591415,74047.792375,1775.6667664999986,None,DE_LU,2026-04-23
2026-01-23 13:00:00+00:00,4147.488154000001,9742.05889,434.02750000000003,12676.570215,5022.7394675,108.046665,31.05467,1120.85116,32.58135,319.00446,82.004014,11842.506628,740.0684249999999,7413.501249999999,19118.101407000002,72830.6042555,0.0,1236.2958999999998,70028.8794175,72830.6042555,71265.17531749999,1565.4289380000118,None,DE_LU,2026-04-23
2026-01-23 14:00:00+00:00,4356.991785,10261.444992499999,481.579165,13562.215197500002,5807.1317975,108.18166500000001,31.20516,1119.079955,126.1391,318.91146000000003,82.216291,5762.129808,741.7023,7518.08975,20160.665431,70437.6838575,0.0,224.5557,71039.287295,70437.6838575,71263.842995,-826.1591374999989,None,DE_LU,2026-04-23
2026-01-23 15:00:00+00:00,4754.221224,10914.7355275,511.433335,14347.81566,6432.92513,108.0133325,31.5336,1171.761205,196.01365,319.13696,82.894712,1081.932147,745.42755,6859.43325,21834.910797,69392.18808,643.669375,0.0,72647.8432,70035.857455,72647.8432,-2611.985744999998,None,DE_LU,2026-04-23
2026-01-23 16:00:00+00:00,4914.0746500000005,11217.747477500001,557.3733325,14826.0026425,6989.7580525,107.98,31.91135,1190.3967400000001,125.156475,318.99296000000004,82.667112,99.133607,752.283875,6155.68725,23282.879376999997,70652.04490100002,1782.8346000000001,0.0,74787.9892,72434.87950100002,74787.9892,-2353.1096989999787,None,DE_LU,2026-04-23
2026-01-23 17:00:00+00:00,4890.980607,11360.32724,532.8825025,15108.107605000001,7025.924905,108.0116675,32.20594,1185.80683,94.086025,319.14346,82.15217,68.111506,760.96575,5795.59,24209.714396,71574.01060400001,1421.6568499999998,0.0,75128.118705,72995.66745400001,75128.118705,-2132.4512509999913,None,DE_LU,2026-04-23
2026-01-23 18:00:00+00:00,4797.00653,11433.0831325,563.6808325000001,13734.273475,6884.37135,108.015,32.44865,1151.0563425,53.0528,318.96020999999996,81.733867,25.335729999999998,762.7495,6177.286,24277.106394,70400.1598135,530.38995,0.0,73536.007385,70930.54976349999,73536.007385,-2605.4576215000125,None,DE_LU,2026-04-23
2026-01-23 19:00:00+00:00,4535.033708,11215.62546,570.4025,13270.34286,6735.82174,108.015,32.59289,1110.93938,22.297125,319.49446,81.570459,14.121151000000001,757.938575,6155.099749999999,23377.562292,68306.85735,303.7224,0.0,70065.348915,68610.57975,70065.348915,-1454.7691649999906,None,DE_LU,2026-04-23
2026-01-23 20:00:00+00:00,4315.3283249999995,10889.53701,500.7408375,12271.2415525,6287.971415,108.046665,32.59672,1108.9919300000001,14.496550000000001,319.80446,81.822974,13.097089,762.938175,6736.59725,22337.493696999998,65780.70465,0.0,421.90729999999996,66345.11153750001,65780.70465,66767.01883750001,-986.3141875000147,None,DE_LU,2026-04-23
2026-01-23 21:00:00+00:00,4206.894389,10873.88218,494.775,12212.6087625,5979.922015,108.3633325,32.74977,1116.881165,29.965625,319.36396,81.966976,13.351676,760.800925,6520.9695,20716.807262000002,63469.302538,0.0,113.777175,63380.07406,63469.302538,63493.851235,-24.548696999998356,None,DE_LU,2026-04-23
2026-01-23 22:00:00+00:00,4115.889789,10432.155295,438.78333250000003,11559.35854,5618.5802325,108.0116675,33.04208,1119.611485,19.120375,319.61346000000003,82.00272,12.86381,762.886525,7197.68275,19838.202749,61657.804810500005,0.0,990.0568,60106.672455,61657.804810500005,61096.729255,561.0755555000069,None,DE_LU,2026-04-23
2026-01-23 23:00:00+00:00,4030.811973,9647.34103,449.6283375,11182.2487325,5188.8732975,423.9168325,33.27422,1114.2468549999999,19.58685,319.93621,82.229251,12.894952,754.76255,7689.10325,18974.816112,59923.670453000006,0.0,1881.89855,56511.9953925,59923.670453000006,58393.8939425,1529.7765105000071,None,DE_LU,2026-04-23
2026-01-24 00:00:00+00:00,3994.421828,8777.7970775,442.149165,11127.539850000001,5013.002425000001,424.794665,33.32188,1113.1448575,20.1657,319.93620999999996,83.039661,12.838843,756.526825,7841.84275,17927.097590999998,57887.619328,0.0,2046.369625,54295.3545675,57887.619328,56341.7241925,1545.8951355000027,None,DE_LU,2026-04-23
2026-01-24 01:00:00+00:00,3991.791338,8229.989487499999,424.483335,11668.9121975,5040.804017500001,424.663,33.3065,1112.40499,11.949024999999999,319.91021,83.084889,11.93426,749.401775,8055.156,16538.666895000002,56696.4579195,0.0,2657.445675,52708.096502500004,56696.4579195,55365.54217750001,1330.9157419999901,None,DE_LU,2026-04-23
2026-01-24 02:00:00+00:00,3989.016359,8195.685565,474.1791625,11861.698049999999,5045.63764,424.593,33.09157,1106.191765,17.712799999999998,319.94146,82.68477899999999,11.585358,750.613525,7718.935750000001,15001.230611,55032.797394500005,0.0,2686.934925,52215.966895,55032.797394500005,54902.90182,129.89557450000575,None,DE_LU,2026-04-23
2026-01-24 03:00:00+00:00,4020.433056,8334.120887500001,468.828335,11967.554075,5138.612555,424.6246675,32.931020000000004,1105.53129,5.760925,320.09946,82.891719,11.257864,733.4235249999999,7752.433,13871.251793,54269.754172,0.0,1852.8302250000002,51916.11709,54269.754172,53768.947315,500.8068570000032,None,DE_LU,2026-04-23
2026-01-24 04:00:00+00:00,4071.676187,8619.7226375,478.6,12175.4715075,4993.78971,424.593,32.72036,1104.53559,4.258625,320.35946,83.007748,11.118985,736.9956500000001,7908.61525,13230.719745,54196.184455,0.0,1462.2506250000001,52384.8453125,54196.184455,53847.0959375,349.0885175000003,None,DE_LU,2026-04-23
2026-01-24 05:00:00+00:00,4187.3448530000005,8704.4134975,481.5891625,12260.45,5003.9569775,424.62800000000004,32.72249,1104.038765,13.4637,320.68120999999996,82.616294,11.927941,735.456375,8072.648,13184.848691,54620.7859565,0.0,1437.710975,53767.0732375,54620.7859565,55204.7842125,-583.998255999999,None,DE_LU,2026-04-23
2026-01-24 06:00:00+00:00,4389.043033,9370.08974,486.9233325,12725.921065,5067.7725224999995,424.728,32.562439999999995,1107.467265,17.943625,320.94971,82.763913,18.788973,733.357775,8041.4442500000005,12589.539312,55409.294956000005,0.0,562.6865,56592.7753375,55409.294956000005,57155.46183750001,-1746.1668815000012,None,DE_LU,2026-04-23
2026-01-24 07:00:00+00:00,4638.762007,10222.7165275,424.115,13240.39775,5283.906615,424.6246675,32.37484,1115.8211649999998,79.040275,321.63946,82.367804,673.578797,741.681425,7888.27675,11839.284863,57008.587946,415.58525,0.0,60203.740765,57424.173195999996,60203.740765,-2779.567569000006,None,DE_LU,2026-04-23
2026-01-24 08:00:00+00:00,4680.333849000001,10562.513535,438.5224975,13323.5083325,5534.45852,424.658,32.27772,1108.94039,118.731275,321.90996,82.327146,3643.196484,740.100675,8065.9884999999995,11167.966506,60245.433390000006,882.51295,0.0,62807.307685,61127.94634,62807.307685,-1679.3613449999975,None,DE_LU,2026-04-23
2026-01-24 09:00:00+00:00,4564.289965,10592.287629999999,455.20917,12658.5191275,5270.0551125,424.6596675,32.1726,1099.472215,102.85272499999999,321.83346,82.110057,7694.1592,734.80035,7880.72325,10313.426226,62226.5707555,575.834425,0.0,63935.982852500005,62802.4051805,63935.982852500005,-1133.5776720000067,None,DE_LU,2026-04-23
2026-01-24 10:00:00+00:00,4359.215899,10292.5256325,467.21916749999997,11827.30437,5171.738465,424.7446675,32.02179,1076.764315,54.833025,321.57696,81.779459,10907.023478,737.014175,7516.199500000001,9807.653355999999,63077.6142595,230.973725,0.0,64318.58791,63308.5879845,64318.58791,-1009.9999255000002,None,DE_LU,2026-04-23
2026-01-24 11:00:00+00:00,4253.3532780000005,10280.887265,465.7891675,11380.6951475,4961.891435,424.743,31.74201,1064.32874,15.699300000000001,321.27496,81.496835,12569.564951,751.7595,7075.9045,8585.615980999999,62264.746069999994,0.0,60.76220000000001,63079.5563025,62264.746069999994,63140.3185025,-875.5724325000047,None,DE_LU,2026-04-23
2026-01-24 12:00:00+00:00,4257.696899,10305.839927500001,521.8516675000001,11293.930165,5138.5123650000005,424.7263325,31.523339999999997,1059.395965,4.666675,320.94346,81.346686,12111.348345999999,752.191275,6990.29325,8028.529893,61322.796246499995,0.0,105.694125,61333.2909075,61322.796246499995,61438.9850325,-116.18878600000608,None,DE_LU,2026-04-23
2026-01-24 13:00:00+00:00,4291.110624,10302.97448,509.59333000000004,11698.527215,5238.3747275000005,424.6263325,31.37194,1045.28884,13.3012,320.62896,81.077304,9210.756603,752.6215500000001,7114.962750000001,8110.718822000001,59145.93467800001,148.693975,0.0,60478.02529,59294.628653000014,60478.02529,-1183.3966369999835,None,DE_LU,2026-04-23
2026-01-24 14:00:00+00:00,4506.449710999999,10657.164965,488.0508325,12845.9819375,5472.6683025,424.593,31.20864,1042.37824,15.091625,320.26471000000004,80.965182,4779.726741,752.187525,7557.20175,8117.739111999999,57091.67227349999,575.64065,0.0,60673.57425,57667.312923499994,60673.57425,-3006.2613265000036,None,DE_LU,2026-04-23
2026-01-24 15:00:00+00:00,4834.560142,10773.2239925,488.14,13629.33033,5678.0238075,424.693,31.31463,1094.31206,51.4092,320.22171,80.881203,1054.666388,755.69365,7804.05525,8924.029127,55944.554489999995,1498.481325,0.0,62556.21834,57443.035814999996,62556.21834,-5113.182525000004,None,DE_LU,2026-04-23
2026-01-24 16:00:00+00:00,4964.3205450000005,10769.48518,477.636665,13938.23633,5878.5287625,424.6263325,31.44787,1143.4481075,128.1082,320.62896,81.333028,85.02441,765.01325,7908.79775,10106.965621,57023.60101150001,3331.990825,0.0,65380.6726125,60355.59183650001,65380.6726125,-5025.080775999988,None,DE_LU,2026-04-23
2026-01-24 17:00:00+00:00,4962.939904,10741.9790925,486.5525025,13959.4325575,5897.515775,429.97695,31.68849,1117.977315,138.4972,320.01071,81.424632,58.794234,764.582975,7833.85775,10800.955216,57626.18530350001,3078.643375,0.0,66188.97650250001,60704.82867850001,66188.97650250001,-5484.147824,None,DE_LU,2026-04-23
2026-01-24 18:00:00+00:00,4877.743215,10773.634885,521.4583325,13953.3319,5830.289345,593.597075,31.8726,1073.7464875,82.74362500000001,319.11496,81.275261,30.153349,765.38295,7571.9259999999995,11194.673407,57700.943392,1530.907075,0.0,64111.7031075,59231.850467000004,64111.7031075,-4879.852640499994,None,DE_LU,2026-04-23
