,Biomass,Fossil Gas,Hydro Run-of-river and poundage,Other,Solar,Waste,Wind Onshore,Generation,Storage Discharge,Storage Charge,Demand,Total Generation,Total Load,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-04 16:00:00+00:00,21.29,56.084588249999996,25.58030025,54.00209675,0.0,110.07797375,867.6721395,1134.7070985,0.0,0.0,1769.58475,1134.7070985,1769.58475,-634.8776515,None,LT,2026-04-23
2026-01-04 17:00:00+00:00,21.29,56.086479,25.3154165,51.279075250000005,0.0,110.03943100000001,911.3920987500001,1175.4025005,0.0,0.0,1717.482665,1175.4025005,1717.482665,-542.0801644999999,None,LT,2026-04-23
2026-01-04 18:00:00+00:00,21.29,56.086479,26.557244,50.33540725,0.0,110.0488485,1001.6761225,1265.99410125,0.0,0.0,1673.7269274999999,1265.99410125,1673.7269274999999,-407.7328262499998,None,LT,2026-04-23
2026-01-04 19:00:00+00:00,21.29,56.096718499999994,26.08220175,51.3713495,0.0,109.31134675,1106.988045,1371.1396615,0.54735775,0.0,1583.1237575,1371.68701925,1583.1237575,-211.43673824999996,None,LT,2026-04-23
2026-01-04 20:00:00+00:00,21.29,56.100856,25.61171375,41.778978,0.0,109.5672315,1101.9500375,1356.29881675,0.0,0.0,1473.44004,1356.29881675,1473.44004,-117.14122324999994,None,LT,2026-04-23
2026-01-04 21:00:00+00:00,21.29,56.04947075,25.314555249999998,38.4213875,0.0,108.65214225,1037.647625,1287.37518075,0.0,0.0,1374.1691875,1287.37518075,1374.1691875,-86.79400674999988,None,LT,2026-04-23
2026-01-04 22:00:00+00:00,21.29,56.087406,25.40443525,39.078413749999996,0.0,108.79992150000001,1029.75052,1280.4106965,0.0,2.08376225,1302.5188975,1280.4106965,1304.6026597500002,-24.19196325000007,None,LT,2026-04-23
2026-01-04 23:00:00+00:00,21.29,56.125958250000004,25.57543275,44.7956435,0.0,109.56778475,1144.8097149999999,1402.1645342499999,0.0,224.84559975,1236.81585,1402.1645342499999,1461.66144975,-59.496915500000114,None,LT,2026-04-23
2026-01-05 00:00:00+00:00,21.29,56.085445,24.80106125,40.53214575,0.0,108.052287,1128.61437,1379.375309,0.0,224.76544475,1221.7895775,1379.375309,1446.5550222499999,-67.17971324999985,None,LT,2026-04-23
2026-01-05 01:00:00+00:00,21.29,56.14760075,25.818322000000002,40.21791025,0.0,108.13796175,1182.466235,1434.07802975,0.0,224.8691375,1207.3643775,1434.07802975,1432.2335150000001,1.8445147499999166,None,LT,2026-04-23
