,Fossil Gas,Hydro Run-of-river and poundage,Hydro Water Reservoir,Waste,Wind Offshore,Wind Onshore,Generation,Storage Discharge,Storage Charge,Demand,Total Generation,Total Load,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-25 00:00:00+00:00,0.0,689.41982125,5395.39473975,14.24146575,3.10066575,933.56257,7035.7192625,464.781182,0.0,5024.4425,7500.5004444999995,5024.4425,2476.0579444999994,None,NO_2,2026-04-23
2026-01-25 01:00:00+00:00,0.0,686.71551475,5344.32958525,13.9692215,3.000222,940.898636,6988.9131794999985,461.4213405,0.0,4975.8575,7450.3345199999985,4975.8575,2474.4770199999984,None,NO_2,2026-04-23
2026-01-25 02:00:00+00:00,0.0,687.76498075,5271.219841,13.9582265,2.900222,937.46085625,6913.3041265,432.3473655,0.0,4933.5325,7345.651492,4933.5325,2412.1189919999997,None,NO_2,2026-04-23
2026-01-25 03:00:00+00:00,0.0,686.091831,5240.67103725,14.03639725,2.9,944.274555,6887.973820499999,425.811519,0.0,4925.83,7313.785339499999,4925.83,2387.9553394999994,None,NO_2,2026-04-23
2026-01-25 04:00:00+00:00,0.13521575,684.509067,5204.631739500001,14.108711,2.80005475,926.148628,6832.3334159999995,422.99716475,0.0,4938.715,7255.330580749999,4938.715,2316.615580749999,None,NO_2,2026-04-23
2026-01-25 05:00:00+00:00,0.0,688.4440882499999,5388.866886,14.2654815,2.799999,907.647273,7002.02372775,428.43665699999997,0.0,5011.17,7430.46038475,5011.17,2419.29038475,None,NO_2,2026-04-23
2026-01-25 06:00:00+00:00,0.0,687.84521375,5679.1886185,14.357256,2.799999,886.29542575,7270.486513,431.71568675,0.0,5101.9375,7702.20219975,5101.9375,2600.2646997499996,None,NO_2,2026-04-23
2026-01-25 07:00:00+00:00,0.0,689.2727925,6161.7710005,14.4175285,2.700222,918.569763,7786.7313065,446.970512,0.0,5205.96,8233.7018185,5205.96,3027.7418184999997,None,NO_2,2026-04-23
2026-01-25 08:00:00+00:00,0.0,689.330346,7319.39056175,14.3613755,2.60030475,907.5636155,8933.246203499999,469.67222875000004,0.0,5340.8175,9402.918432249999,5340.8175,4062.1009322499986,None,NO_2,2026-04-23
2026-01-25 09:00:00+00:00,0.0,685.724288,7484.56416175,14.321459,2.4011109999999998,909.339108,9096.35012775,470.0848655,0.0,5447.465,9566.43499325,5447.465,4118.969993250001,None,NO_2,2026-04-23
2026-01-25 10:00:00+00:00,0.0,691.8946344999999,7633.59065225,14.3630665,2.2006110000000003,906.83384725,9248.8828115,472.08016675,0.0,5486.2425,9720.96297825,5486.2425,4234.720478249999,None,NO_2,2026-04-23
2026-01-25 11:00:00+00:00,0.0,686.8426075,7495.66901175,14.4242645,2.2,843.7227722499999,9042.858656,470.51511625,0.0,5500.2175,9513.373772250001,5500.2175,4013.156272250001,None,NO_2,2026-04-23
2026-01-25 12:00:00+00:00,0.0,694.28338425,7793.80052,14.36548825,2.2,742.84134125,9247.490733749999,471.36919325,0.0,5505.9400000000005,9718.859927,5505.9400000000005,4212.919926999999,None,NO_2,2026-04-23
2026-01-25 13:00:00+00:00,0.0,718.50415125,7833.586182499999,14.328023,2.10030475,661.1345670000001,9229.6532285,471.8055695,0.0,5524.9475,9701.458798,5524.9475,4176.511297999999,None,NO_2,2026-04-23
2026-01-25 14:00:00+00:00,0.0,720.85031025,7504.308825,14.43461975,2.0003055,598.3334307499999,8839.92749125,468.8207285,0.0,5549.1075,9308.748219750001,5549.1075,3759.640719750001,None,NO_2,2026-04-23
2026-01-25 15:00:00+00:00,0.0,718.809796,7704.925392749999,14.40714325,1.90022125,595.3317292500001,9035.374282499999,473.48448225,0.0,5616.0025,9508.858764749999,5616.0025,3892.8562647499994,None,NO_2,2026-04-23
2026-01-25 16:00:00+00:00,0.0,733.912554,8236.9060785,14.35834,1.8002212499999999,596.7383665,9583.71556025,473.9173535,0.0,5706.6075,10057.63291375,5706.6075,4351.02541375,None,NO_2,2026-04-23
2026-01-25 17:00:00+00:00,0.0,734.6781805,7964.29802725,14.446447,1.60044425,570.2456549999999,9285.268754,473.6947115,0.0,5702.0325,9758.9634655,5702.0325,4056.9309655000006,None,NO_2,2026-04-23
2026-01-25 18:00:00+00:00,0.0,734.2773012499999,8143.19063025,14.391548,1.40066575,535.05043575,9428.310580999998,474.5394575,0.0,5698.41,9902.850038499997,5698.41,4204.440038499997,None,NO_2,2026-04-23
2026-01-25 19:00:00+00:00,0.0,737.82255075,7994.178181,14.395025,1.300249,460.00113625,9207.697142,474.43665175,0.0,5660.4349999999995,9682.133793750001,5660.4349999999995,4021.6987937500016,None,NO_2,2026-04-23
2026-01-25 20:00:00+00:00,0.0,737.2675815,7908.01359325,14.377481249999999,1.299999,446.70132525,9107.65998025,472.1488435,0.0,5599.1675000000005,9579.80882375,5599.1675000000005,3980.641323749999,None,NO_2,2026-04-23
2026-01-25 21:00:00+00:00,0.0,736.08479825,7898.64180225,14.37460775,1.299999,380.26599124999996,9030.667198500001,471.13282649999996,0.0,5522.6975,9501.800025,5522.6975,3979.1025250000002,None,NO_2,2026-04-23
2026-01-25 22:00:00+00:00,0.0358635,729.96841825,7349.4413875,14.35045875,1.20025,324.7934385,8419.7898165,465.40983725,0.0,5375.9525,8885.19965375,5375.9525,3509.2471537499996,None,NO_2,2026-04-23
2026-01-25 23:00:00+00:00,4.0790395,707.6905305,6999.68698125,14.41183275,1.1003610000000001,318.702653,8045.671398,443.93348075,0.0,5288.91,8489.60487875,5288.91,3200.6948787500005,None,NO_2,2026-04-23
2026-01-26 00:00:00+00:00,5.8467375,705.60985025,6929.5578525,14.33643725,1.1,313.008061,7969.4589385,456.16245575,0.0,5206.0725,8425.62139425,5206.0725,3219.5488942499996,None,NO_2,2026-04-23
2026-01-26 01:00:00+00:00,4.6031042499999995,705.318624,6387.53941125,14.37107425,1.1,273.93116975,7386.8633835,445.840207,0.0,5163.995,7832.7035905,5163.995,2668.7085905000004,None,NO_2,2026-04-23
2026-01-26 02:00:00+00:00,4.928363,705.70927775,6085.0923695,14.26520375,1.1,216.421197,7027.5164110000005,436.271632,0.0,5145.3825,7463.7880430000005,5145.3825,2318.4055430000008,None,NO_2,2026-04-23
2026-01-26 03:00:00+00:00,4.17313575,708.34464125,5940.6739105,14.1744655,1.0003055,262.4871915,6930.85365,445.25554525,0.0,5183.985,7376.10919525,5183.985,2192.1241952500004,None,NO_2,2026-04-23
