,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Solar,Waste,Wind Onshore,Generation,Storage Discharge,Storage Charge,Demand,Total Generation,Total Load,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-02 03:00:00+00:00,11.724896,996.2962,302.594945,49.7478,73.22231,8.61774,1763.7624,0.147757,3.483,386.025007,3595.6220550000003,0.0,0.0,5152.89681,3595.6220550000003,5152.89681,-1557.274755,None,BG,2026-04-23
2026-01-02 04:00:00+00:00,11.788528,1046.72485,304.48598,49.6957,77.050155,49.21535,1763.7624,14.45392,3.26,427.970218,3748.4071010000002,0.0,0.0,5033.31781,3748.4071010000002,5033.31781,-1284.9107089999993,None,BG,2026-04-23
2026-01-02 05:00:00+00:00,11.404944,1054.09789,304.682795,49.5398,105.286965,120.60457,1764.1728,82.004395,3.062,467.555665,3962.411824,0.0,0.0,5158.58062,3962.411824,5158.58062,-1196.168796,None,BG,2026-04-23
2026-01-02 06:00:00+00:00,11.308144,1041.53354,306.96855,49.5611,114.867531,155.97445,1764.72,434.082107,3.064,472.586429,4354.665851000001,0.0,0.0,5545.74765,4354.665851000001,5545.74765,-1191.0817989999996,None,BG,2026-04-23
2026-01-02 07:00:00+00:00,11.505776,1049.74611,305.54837,49.6252,127.738116,703.58993,1763.0784,1383.393876,3.158,483.060976,5880.444754,0.0,0.0,5725.69956,5880.444754,5725.69956,154.74519400000008,None,BG,2026-04-23
2026-01-02 08:00:00+00:00,11.898912,1096.43976,304.75471,49.4376,87.370915,668.24419,1763.2152,2138.097516,3.417,451.560384,6574.436187,0.0,0.0,5704.6423,6574.436187,5704.6423,869.7938869999998,None,BG,2026-04-23
2026-01-02 09:00:00+00:00,11.93568,1063.62595,300.0776,49.3791,73.989729,497.05061,1764.1728,2368.034272,3.271,411.25881,6542.795551,0.0,0.0,5596.76017,6542.795551,5596.76017,946.0353810000006,None,BG,2026-04-23
2026-01-02 10:00:00+00:00,11.792672,1110.3019,299.519425,49.6229,72.335092,10.74965,1762.5312,2351.70433,3.274,388.009066,6059.840235,0.0,0.0,5483.69083,6059.840235,5483.69083,576.1494050000001,None,BG,2026-04-23
2026-01-02 11:00:00+00:00,12.173824,1051.59496,299.754725,49.6468,72.171613,8.70329,1762.5312,2237.131634,3.329,398.788711,5895.825757,0.0,0.0,5323.32966,5895.825757,5323.32966,572.4960969999993,None,BG,2026-04-23
2026-01-02 12:00:00+00:00,11.767216,1049.52699,299.757395,49.2529,72.28973,8.65278,1763.0784,1737.515714,3.396,464.660271,5459.897395999999,0.0,0.0,5142.67921,5459.897395999999,5142.67921,317.21818599999915,None,BG,2026-04-23
2026-01-02 13:00:00+00:00,11.53776,1051.36163,300.622535,49.4501,74.744386,72.31174,1763.8992,934.112214,3.448,484.40897,4745.896535000001,0.0,0.0,5230.31751,4745.896535000001,5230.31751,-484.4209749999991,None,BG,2026-04-23
2026-01-02 14:00:00+00:00,11.120768,1123.90375,301.26302,49.2386,113.126527,356.81999,1763.6256,190.96513,3.61,505.078318,4418.751703,0.0,0.0,5502.71958,4418.751703,5502.71958,-1083.967877,None,BG,2026-04-23
2026-01-02 15:00:00+00:00,11.578032,1168.91184,302.059975,49.1241,220.878959,686.32379,1764.036,385.654243,4.341,515.967665,5108.875604,0.0,0.0,5792.96506,5108.875604,5792.96506,-684.0894560000006,None,BG,2026-04-23
2026-01-02 16:00:00+00:00,11.779392,1268.20378,302.2992,49.0222,222.316776,810.62023,1764.1728,421.763284,3.706,554.155202,5408.038864,166.32,0.0,5915.30249,5574.358864,5915.30249,-340.9436260000002,None,BG,2026-04-23
2026-01-02 17:00:00+00:00,11.56888,1269.52484,302.594735,49.0869,217.627373,803.54352,1763.6256,378.993502,3.1,565.627421,5365.292771000001,167.31,0.0,5910.27326,5532.602771000002,5910.27326,-377.67048899999827,None,BG,2026-04-23
2026-01-02 18:00:00+00:00,11.415728,1132.22267,301.5351,49.1871,196.320316,766.61356,1764.8568,227.456519,3.532,556.597324,5009.737117000001,180.18,0.0,5742.74539,5189.917117000001,5742.74539,-552.8282729999992,None,BG,2026-04-23
2026-01-02 19:00:00+00:00,9.286336,1081.77333,298.105975,49.4648,124.788292,489.10088,1764.1728,115.253859,3.446,541.387341,4476.779613,0.0,0.0,5512.10294,4476.779613,5512.10294,-1035.323327,None,BG,2026-04-23
2026-01-02 20:00:00+00:00,9.427024,1052.75915,298.2026,49.4192,98.414632,390.40686,1764.8568,12.543319,3.35,548.176038,4227.555623,0.0,0.0,5370.69549,4227.555623,5370.69549,-1143.1398669999999,None,BG,2026-04-23
2026-01-02 21:00:00+00:00,9.480768,1062.04798,298.24439,49.407,88.914186,203.498413,1763.352,6.590598,3.316,553.885467,4038.7368019999994,0.0,0.0,5093.53687,4038.7368019999994,5093.53687,-1054.8000680000005,None,BG,2026-04-23
2026-01-02 22:00:00+00:00,11.978496,1177.10519,301.21657,49.2556,78.517206,19.00231,1763.4888,0.415324,3.281,550.999043,3955.2595390000006,0.0,0.0,4790.3364,3955.2595390000006,4790.3364,-835.0768609999996,None,BG,2026-04-23
2026-01-02 23:00:00+00:00,11.997504,1086.93108,301.33423,49.3856,80.421739,8.6677,1763.352,0.217542,3.241,553.626018,3859.174413,0.0,0.0,4520.70654,3859.174413,4520.70654,-661.532127,None,BG,2026-04-23
2026-01-03 00:00:00+00:00,11.630368,1045.12644,301.940765,49.2652,76.402745,8.6568,1763.4888,0.117463,3.321,533.917929,3793.86751,0.0,0.0,4526.57716,3793.86751,4526.57716,-732.7096499999998,None,BG,2026-04-23
2026-01-03 01:00:00+00:00,11.173424,1048.73506,300.769345,49.2057,77.67531,8.69836,1763.4888,0.059122,3.689,526.838865,3790.3329860000003,0.0,0.0,4923.71934,3790.3329860000003,4923.71934,-1133.3863539999993,None,BG,2026-04-23
2026-01-03 02:00:00+00:00,11.794224,1050.55,299.973515,49.428,79.907335,8.6518,1763.6256,0.057816,3.702,516.82152,3784.5118100000004,0.0,0.0,4968.59362,3784.5118100000004,4968.59362,-1184.0818099999992,None,BG,2026-04-23
2026-01-03 03:00:00+00:00,10.773024,1047.44624,299.27608,49.4009,79.383961,8.65376,1763.6256,0.092594,3.671,527.967584,3790.290743,0.0,0.0,4893.17066,3790.290743,4893.17066,-1102.8799169999998,None,BG,2026-04-23
2026-01-03 04:00:00+00:00,11.421936,1052.50245,297.252645,49.3432,86.903249,9.86948,1764.3096,4.681888,3.921,526.666001,3806.871449,0.0,0.0,4616.67338,3806.871449,4616.67338,-809.801931,None,BG,2026-04-23
