,Solar,Wind Onshore,Biomass,Hydro Water Reservoir,Hydro Run-of-river and poundage,Geothermal,Storage,Fossil Hard coal,Fossil Gas,Fossil Oil,Fossil Coal-derived gas,Other,bidding_zone,source_download_date
2026-04-09 17:00:00+00:00,19.24729759541143,1.8107213765718067,22.198102801676594,63.911758217515995,354.6666666666667,0.0,196.7315243767924,0.0,970.0772115596735,2.9508052062651666,1.3412750937568938,191.06463710566953,IT_CNOR,2026-04-23
2026-04-09 18:00:00+00:00,0.0,1.1892224970615581,25.395654614669404,90.57271985684964,420.02571355893554,0.0,308.2771608511833,0.0,1117.2553549813167,3.375857411013455,1.5344806413697525,219.12383558760067,IT_CNOR,2026-04-23
2026-04-09 19:00:00+00:00,0.0,0.35435772789476905,19.5192048448702,51.35234073408362,290.9572244122633,0.0,88.58943197369227,0.0,820.2200208337589,2.5986233378949732,1.181192426315897,170.9776037092261,IT_CNOR,2026-04-23
2026-04-09 20:00:00+00:00,0.0,0.17388959242061816,23.022982036489847,45.48951737723372,300.3073261104076,0.0,0.0,0.0,911.2857980394915,3.06045682660288,1.3911167393649453,198.26891327798882,IT_CNOR,2026-04-23
2026-04-09 21:00:00+00:00,0.0,0.15260922330097088,25.40943567961165,44.98156856796117,310.1019417475728,0.0,1.220873786407767,0.0,907.1473756067961,3.3574029126213594,1.4497876213592233,215.1790048543689,IT_CNOR,2026-04-23
2026-04-09 22:00:00+00:00,0.0,24.780677210594853,16.429887267729395,27.568010329780517,179.75870222781384,0.0,9.050029315572237,0.0,446.9529407815518,1.6887737569717958,0.6140995479897439,116.90687956199574,IT_CNOR,2026-04-23
2026-04-09 23:00:00+00:00,0.0,219.30760142018562,24.294913893148166,17.889029014396534,202.19543580391013,0.0,3.247443762781186,0.0,162.45766012865928,0.04607195834908816,0.012565079549751317,83.29927893902023,IT_CNOR,2026-04-23
2026-04-10 00:00:00+00:00,0.0,295.93828945366,15.281007457008066,20.063612844315934,228.0486227362654,0.0,0.0,0.0,113.73268908841882,0.0,0.0,93.43577842033177,IT_CNOR,2026-04-23
2026-04-10 01:00:00+00:00,0.0,220.36987064546906,27.632755501652603,16.17997496492965,175.57659145821248,0.0,0.0,0.0,176.62195635423313,0.31620238423584934,0.1185758940884435,82.18407279717879,IT_CNOR,2026-04-23
2026-04-10 02:00:00+00:00,0.0,350.1329636796666,36.20180857398035,23.497022923489133,259.6967475439119,0.0,0.0,0.0,138.79636796665676,0.0,0.0,109.42508931229533,IT_CNOR,2026-04-23
2026-04-10 03:00:00+00:00,0.0,226.60106529211888,33.59600567373455,22.630180348414505,245.21507811768615,0.0,10.563379227776116,0.0,225.8825957731139,0.3814173161640122,0.14029142663503896,110.48998682435685,IT_CNOR,2026-04-23
2026-04-10 04:00:00+00:00,8.642219430400877,183.10210428869476,52.14260306452868,32.850269506913925,333.0353875114457,0.0,128.00766422713644,0.0,361.9369614670519,0.542645596198475,0.19732567134489998,145.79281923628437,IT_CNOR,2026-04-23
2026-04-10 05:00:00+00:00,240.42983175216185,140.592214427992,51.5747002488755,29.523502368863696,313.6111632880452,0.0,354.36577818782735,0.0,331.63648065453447,0.25093763291188187,0.09125004833159339,131.42414139045647,IT_CNOR,2026-04-23
2026-04-10 06:00:00+00:00,1030.6121924473991,77.0891302857926,47.477640326228496,28.453498732095127,329.86207251045164,0.0,510.50870399561376,0.0,256.74319786169553,0.0,0.0,133.00356384072373,IT_CNOR,2026-04-23
2026-04-10 07:00:00+00:00,1183.7304184549357,27.7453952074392,28.40338876967096,18.752816523605148,240.71597818311875,0.0,103.74365164520744,0.0,148.70654506437768,0.0,0.0,87.9518061516452,IT_CNOR,2026-04-23
2026-04-10 08:00:00+00:00,1748.0513801585132,42.09264826455316,38.07105766602897,23.05711943153867,282.71781907625035,0.0,48.12503416233944,0.0,162.33820716042635,0.0,0.0,108.04673408034982,IT_CNOR,2026-04-23
2026-04-10 09:00:00+00:00,2678.5403763279214,64.5558228101824,10.174559029865705,30.1728302264983,363.47735017037485,0.0,187.5276483263179,0.0,27.541478753257167,0.0,0.0,138.7599343555823,IT_CNOR,2026-04-23
2026-04-10 10:00:00+00:00,2909.813030739435,88.727963450365,11.425733723990664,22.672940358543972,338.6658886626608,0.0,62.30595421363659,0.0,21.24472364304514,0.0,0.0,140.14376520832298,IT_CNOR,2026-04-23
2026-04-10 11:00:00+00:00,2932.861233153971,179.59915091079625,16.859604087475937,11.180579552747199,296.9065014562867,0.0,0.0,0.0,17.392012637606754,0.0,0.0,140.20091820111566,IT_CNOR,2026-04-23
2026-04-10 12:00:00+00:00,2818.4556829511466,342.0554336989033,32.989182452642076,29.671834496510467,313.85797607178466,0.0,0.0,0.0,14.928065802592222,0.0,0.0,145.04182452642075,IT_CNOR,2026-04-23
2026-04-10 13:00:00+00:00,2597.527587965324,480.8989291177971,47.884140744518106,31.42396736359001,325.27547169811317,0.0,15.150841407445181,0.0,23.006833248342684,0.0,0.0,146.83222845486995,IT_CNOR,2026-04-23
2026-04-10 14:00:00+00:00,1702.6685912857524,419.66565089548254,29.86110665597434,24.59149959903769,271.0920074846298,0.0,38.0582731889869,0.0,136.86340550654904,0.0,0.0,115.19946538358728,IT_CNOR,2026-04-23
2026-04-10 15:00:00+00:00,516.9768476664029,162.02089219120802,4.038337665272912,11.697253926997401,136.050203412815,0.0,23.464134365465025,0.0,323.2062662447734,0.0,0.0,54.796064527065205,IT_CNOR,2026-04-23
2026-04-10 16:00:00+00:00,122.53211883831399,80.42339311323417,5.678098184371989,17.910548719098998,147.30115679572782,0.0,26.26819262816788,0.0,503.1068406950427,0.6423804226918798,0.2919911012235818,69.34527950212697,IT_CNOR,2026-04-23
2026-04-10 17:00:00+00:00,16.555534671035694,32.388609519246195,12.157824437956785,53.54275408495814,286.9971051127357,0.0,141.17330599857237,0.0,805.0113169739411,2.0162371917526514,0.9164714507966596,139.24084055900454,IT_CNOR,2026-04-23
2026-04-10 18:00:00+00:00,0.0,7.748655642938765,16.894064663574646,87.8956946965114,393.2858439201452,0.0,237.2817940444982,0.0,1043.5410533037575,2.926530886603482,0.9976809840693688,188.42868185790147,IT_CNOR,2026-04-23
