,Solar,Wind Onshore,Biomass,Hydro Water Reservoir,Hydro Run-of-river and poundage,Geothermal,Other renewable,Storage,Fossil Brown coal/Lignite,Fossil Hard coal,Fossil Gas,Fossil Oil,Waste,Other,bidding_zone,source_download_date
2026-04-01 03:00:00+00:00,0.0,38.891847580280405,2.809814563545906,18.07513568521031,3.456071913161465,0.0,1.3808231569425597,0.0,0.0,0.0,6.22173224785165,0.0,0.1645748530076888,0.0,BA,2026-04-23
2026-04-01 04:00:00+00:00,0.0,43.42624174617471,0.0,123.65672274371363,0.0,0.0,0.0,0.0,65.91703551011169,0.0,0.0,0.0,0.0,0.0,BA,2026-04-23
2026-04-01 05:00:00+00:00,0.0,34.432558101857474,0.0,130.58813093878342,0.0,0.0,0.0,0.0,51.97931095935907,0.0,0.0,0.0,0.0,0.0,BA,2026-04-23
2026-04-01 06:00:00+00:00,0.0,14.219084318561778,0.0,61.36466072405856,0.0,0.0,0.0,0.0,21.416254957379653,0.0,0.0,0.0,0.0,0.0,BA,2026-04-23
2026-04-01 07:00:00+00:00,2.448415922014622,14.807640606727253,1.9960699708614342,14.230346478024108,44.673405443058435,0.0,0.5393988627132413,0.3200649878147848,53.2728738505037,0.0,3.0512562177721776,0.0,0.07148659626320066,0.5890410642470554,BA,2026-04-23
2026-04-01 08:00:00+00:00,6.3368459491887945,30.03923288372791,3.3708861014978817,21.021260735502043,49.07879195359851,0.0,1.1604152537951902,0.0,58.225655092759695,0.0,6.021437020640217,0.0,0.13631384005425426,0.609161169235498,BA,2026-04-23
2026-04-01 09:00:00+00:00,10.355661264450468,43.68696597050332,4.144403905706959,20.431439792023898,34.10274795481209,0.0,1.669118867193982,0.0,39.69704540053742,0.0,8.321234579806143,0.0,0.19337352729686377,0.3980087376688582,BA,2026-04-23
2026-04-01 10:00:00+00:00,34.04105315014505,140.66845475942853,10.936559198642508,63.56166183151787,15.829656795664787,0.0,5.184739175652745,0.0,0.0,0.0,25.178389621763642,0.0,0.5994854671848486,0.0,BA,2026-04-23
2026-04-01 11:00:00+00:00,38.26989905675989,163.0324342214132,12.788350157206686,75.56925368194605,18.87804070825749,0.0,6.3180539467152075,0.0,0.0,0.0,29.458878040708257,0.0,0.6850901869932152,0.0,BA,2026-04-23
2026-04-01 12:00:00+00:00,40.582863585118375,165.09301014656143,13.447576099210824,77.66375422773395,19.83117249154453,0.0,6.5636978579481395,0.0,0.0,0.0,31.037485907553553,0.0,0.7804396843291995,0.0,BA,2026-04-23
2026-04-01 13:00:00+00:00,33.42521834061135,172.38579573022807,13.570839398350314,53.199296458030084,19.914604560892773,0.0,6.5846676370693835,0.0,0.0,0.0,31.136644832605533,0.0,0.7829330422125182,0.0,BA,2026-04-23
2026-04-01 14:00:00+00:00,25.046749751331113,198.47685916564276,15.628810485050613,81.35112047276344,22.38172137382248,0.0,7.407875490023989,0.0,0.0,0.0,34.84863378386286,0.0,0.8582294775027792,0.0,BA,2026-04-23
2026-04-01 15:00:00+00:00,15.579886455798864,189.6242227629089,15.901595025682619,128.43065693430657,27.27629088942958,0.0,7.629088942957556,4.412003244120033,0.0,0.0,35.22708840227088,0.0,0.9191673425250068,0.0,BA,2026-04-23
2026-04-01 16:00:00+00:00,2.0776429498947744,99.6044753591123,7.178256391886444,152.69286389825646,15.852415707697126,0.0,3.5319930148211163,21.171181659427752,23.49856814423426,0.0,15.925133210943445,0.0,0.46746966372632426,0.0,BA,2026-04-23
2026-04-01 17:00:00+00:00,0.002120515992224775,34.23361595729709,0.12228308888496202,179.00443585000068,0.2852094009542322,0.0,0.0622018024385934,0.37020675030924194,52.63895826515321,0.0,0.27283972433292103,0.0,0.008128644636861635,0.0,BA,2026-04-23
2026-04-01 18:00:00+00:00,0.0,58.50866582481302,2.542640236187263,179.13802292517806,5.981189371573177,0.0,1.2622522142555885,8.110333192745678,45.70059087885752,0.0,5.593083087304935,0.0,0.16322226908477439,0.0,BA,2026-04-23
2026-04-01 19:00:00+00:00,0.0,23.88574952554704,0.0,111.06485230472178,0.0,0.0,0.0,0.0,37.049398169731184,0.0,0.0,0.0,0.0,0.0,BA,2026-04-23
2026-04-01 20:00:00+00:00,0.0,32.581200624438246,2.7484743838402954,34.66218837220304,5.469464023842189,0.0,1.3349732721510008,0.0,0.0,0.0,6.05449642840248,0.0,0.1492028951227589,0.0,BA,2026-04-23
2026-04-01 21:00:00+00:00,0.0,60.52455183164457,5.222135619641465,46.49192740229373,7.46019374234495,0.0,2.536465872397283,0.0,0.0,0.0,11.496158556953569,0.0,0.2685669747244182,0.0,BA,2026-04-23
2026-04-01 22:00:00+00:00,0.0,39.89514934584054,3.4441495926931625,23.354233522587013,4.653850901012095,0.0,1.6795852875833126,0.0,0.0,0.0,7.7330905949148345,0.0,0.23994075536904463,0.0,BA,2026-04-23
2026-04-01 23:00:00+00:00,0.0,6.999125983268823,0.6048195779747784,3.8972406043201393,0.8128355599950057,0.0,0.29366962167561494,0.0,0.0,0.0,1.3494818329379448,0.0,0.042826819827693846,0.0,BA,2026-04-23
2026-04-02 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BA,2026-04-23
2026-04-02 01:00:00+00:00,0.0,1.318273340143496,0.343927299802634,0.3529780182184928,8.525776747738979,0.0,0.0,0.0,19.015559391719318,0.0,0.20816652356475218,0.0,0.0,0.2353186788123285,BA,2026-04-23
2026-04-02 02:00:00+00:00,0.0,0.9363297521946509,0.36299787605709244,0.0,10.145325253903353,0.0,0.0,0.0,19.099272863311633,0.0,0.21407567049520837,0.0,0.0,0.24199858403806163,BA,2026-04-23
2026-04-02 03:00:00+00:00,0.0,0.16734698329008268,0.08270436612404927,0.0,2.3093603771561453,0.0,0.0,0.0,4.336677659581558,0.0,0.04877436976546495,0.0,0.0,0.05513624408269951,BA,2026-04-23
2026-04-02 04:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BA,2026-04-23
2026-04-02 05:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BA,2026-04-23
2026-04-02 06:00:00+00:00,0.32369734298430963,5.16405161174302,0.37117295328867506,3.9129613811086625,0.6457761992536978,0.0,0.18774445893089958,0.5330216247808299,0.0,0.0,0.8335206581845973,0.0,0.028053769725306835,0.0,BA,2026-04-23
2026-04-02 07:00:00+00:00,12.723965483428124,104.88291821925868,7.314375367719162,63.40213767405374,12.54981368895862,0.0,3.787801529711708,0.0,0.0,0.0,16.870955089233185,0.0,0.46803294763679154,0.0,BA,2026-04-23
2026-04-02 08:00:00+00:00,22.75709183673469,120.3944387755102,8.725918367346937,62.32061224489796,13.94081632653061,0.0,4.337142857142856,0.0,0.0,0.0,19.956020408163262,0.0,0.5679591836734694,0.0,BA,2026-04-23
2026-04-02 09:00:00+00:00,38.31015781766907,155.00987038342643,11.841640002169314,74.13287054612505,16.326048050328108,0.0,5.815716687455936,0.0,0.0,0.0,20.792938879548785,0.0,0.7707576332772927,0.0,BA,2026-04-23
2026-04-02 10:00:00+00:00,42.513870614035085,167.24166666666665,12.121052631578948,68.68596491228071,16.19747807017544,0.0,5.9883771929824565,0.0,0.0,0.0,15.45794956140351,0.0,0.793640350877193,0.0,BA,2026-04-23
2026-04-02 11:00:00+00:00,37.766793829822525,173.45231381655333,12.557969812572564,71.98540388124067,16.6634599436059,0.0,6.241831149444352,0.0,0.0,0.0,16.44053740255432,0.0,0.891690164206336,0.0,BA,2026-04-23
2026-04-02 12:00:00+00:00,32.22799552071668,182.8807780632574,13.681687884434044,78.32973536221172,21.53179053912606,0.0,6.546920492721164,0.0,10.327350228505598,0.0,17.4110858918144,0.0,0.9352743561030235,0.12738166110993657,BA,2026-04-23
2026-04-02 13:00:00+00:00,29.635410205807727,240.07578235128275,16.700084578517057,89.1234282492247,22.130025373555114,0.0,8.108711587256836,0.0,0.0,0.0,21.068170284747673,0.0,1.1583873696081195,0.0,BA,2026-04-23
2026-04-02 14:00:00+00:00,25.827286576764656,281.8847824860351,19.40551825311742,104.12238334367771,25.687073294588952,0.0,9.422332562207302,0.0,0.0,0.0,29.304575974722113,0.0,1.3460475088867574,0.0,BA,2026-04-23
2026-04-02 15:00:00+00:00,11.940817285110379,234.0679505245029,16.10730128907677,111.02865194927195,26.488596628568445,0.0,7.913991962841187,2.956108762590679,0.0,0.0,34.262929909712426,0.0,1.2336516883252437,0.0,BA,2026-04-23
2026-04-02 16:00:00+00:00,1.7355509178414752,120.0238085097321,8.517739256356744,91.76263895395886,18.524851995400144,0.0,4.185016397631927,24.691596746028367,0.0,0.0,18.857191532859147,0.0,0.7016056901912346,0.0,BA,2026-04-23
2026-04-02 17:00:00+00:00,0.07990064168909128,79.91824072706515,5.529124404885117,80.96699431374918,12.080977023390602,0.0,2.6846615607534674,16.483502380459534,4.544406855273429,0.0,12.256758435106601,0.0,0.4554336576278203,0.0,BA,2026-04-23
2026-04-02 18:00:00+00:00,0.0,86.78343522318065,6.452265304413366,79.23867347793318,13.87563855623482,0.0,3.1000753705719792,18.740515869692654,0.0,0.0,14.323842224269322,0.0,0.48555397370404496,0.0,BA,2026-04-23
2026-04-02 19:00:00+00:00,0.0,83.33830049824016,6.190793984549983,74.52246651734697,13.286465237464004,0.0,2.974448050463957,1.5141015678566527,0.0,0.0,13.743383462083466,0.0,0.430040681994789,0.0,BA,2026-04-23
2026-04-02 20:00:00+00:00,0.0,71.21509565912382,5.557270592936709,57.1168390029472,11.86248064338878,0.0,2.637894000699335,0.0,0.0,0.0,12.264598631300263,0.0,0.3458214696038764,0.0,BA,2026-04-23
2026-04-02 21:00:00+00:00,0.0,103.20926424143175,8.418294537372791,58.78207977541232,14.476546964557256,0.0,3.9901742893905707,0.0,0.0,0.0,18.588372909112177,0.0,0.5352672827231255,0.0,BA,2026-04-23
2026-04-02 22:00:00+00:00,0.0,166.99024918743228,14.283134705669918,99.81870711448177,18.772119898880465,0.0,6.855904658721561,0.0,0.0,0.0,31.300469483568076,0.0,0.9794149512459372,0.0,BA,2026-04-23
2026-04-02 23:00:00+00:00,0.0,134.91885068526088,11.360904063476799,77.62743447944217,14.89901418610243,0.0,5.453233950468864,0.0,0.0,0.0,24.993988939648954,0.0,0.7465736955999038,0.0,BA,2026-04-23
2026-04-03 00:00:00+00:00,0.0,167.02835391439874,13.721376333772929,90.67869560004796,17.95540103105143,0.0,6.586260640211005,0.0,0.0,0.0,30.12822203572713,0.0,0.9016904447907924,0.0,BA,2026-04-23
2026-04-03 01:00:00+00:00,0.0,165.56251872266492,13.504283745731234,88.47235036846206,17.324066862380924,0.0,6.4820561979509925,0.0,0.0,0.0,29.690132406686242,0.0,0.9645916961236595,0.0,BA,2026-04-23
2026-04-03 02:00:00+00:00,0.0,163.26540850453895,13.22957477305303,86.4168657429527,16.834209268991877,0.0,6.265647396082179,0.0,0.0,0.0,29.08241758241758,0.0,0.9058767319636883,0.0,BA,2026-04-23
2026-04-03 03:00:00+00:00,0.0,164.31664645764766,13.820659391419827,101.80957330099889,22.59599284023327,0.0,6.439170852820601,0.0,0.0,0.0,29.99711299728622,0.0,1.02084415959351,0.0,BA,2026-04-23
