,Solar,Wind Onshore,Biomass,Hydro Run-of-river and poundage,Geothermal,Storage,Fossil Gas,Waste,Other,bidding_zone,source_download_date
2026-04-16 02:00:00+00:00,0.0,332.1201447067784,114.09044173648134,50.31454683929932,0.0,0.0,330.3547220106626,7.061690784463062,35.30845392231531,IT_SICI,2026-04-23
2026-04-16 03:00:00+00:00,0.0,227.44972878729175,81.00949244478883,41.98062766369625,0.0,0.0,463.9187330492057,5.247578457962031,26.893839597055404,IT_SICI,2026-04-23
2026-04-16 04:00:00+00:00,0.35307431158053565,165.35646925688417,58.02187853640135,30.599773670313088,0.0,0.0,347.1897397208601,3.6484345529988684,18.8306299509619,IT_SICI,2026-04-23
2026-04-16 05:00:00+00:00,17.94142694928085,171.82366578349735,66.2452687358062,39.885172218016656,0.0,0.0,406.71834784254355,4.140329295987888,22.495789174867525,IT_SICI,2026-04-23
2026-04-16 06:00:00+00:00,31.17527096406161,104.11180832857958,46.13163148887621,25.73659440958357,0.0,0.0,285.14204221334853,2.5250998288648034,15.927552766685682,IT_SICI,2026-04-23
2026-04-16 07:00:00+00:00,29.127051499717034,54.550084889643465,26.938313525749855,11.785512167515563,0.0,0.0,164.37983399358612,1.5152801358234296,9.203923787964536,IT_SICI,2026-04-23
2026-04-16 08:00:00+00:00,58.88500459981601,76.25452315240724,37.387304507819685,13.319227230910764,0.0,0.0,52.96534805274456,2.414596749463355,12.773995706838393,IT_SICI,2026-04-23
2026-04-16 09:00:00+00:00,3.5719375636240245,3.0508992195453,1.4218696979979641,0.5932304038004751,0.0,0.0,0.0,0.09730234136409907,0.5147607736681371,IT_SICI,2026-04-23
2026-04-16 10:00:00+00:00,10.515287769784173,9.278776978417266,3.7293165467625897,2.037769784172662,0.0,0.0,0.0,0.3165467625899281,1.6223021582733814,IT_SICI,2026-04-23
2026-04-16 11:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IT_SICI,2026-04-23
2026-04-16 12:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IT_SICI,2026-04-23
2026-04-16 13:00:00+00:00,20.936141304347824,27.519021739130434,9.964673913043478,9.990489130434783,0.0,0.0,7.279891304347826,0.8260869565217392,4.233695652173913,IT_SICI,2026-04-23
2026-04-16 14:00:00+00:00,46.43135518157661,87.26572187776794,32.005314437555356,18.840566873339238,0.0,0.0,155.76970770593445,2.759078830823738,12.928255093002656,IT_SICI,2026-04-23
2026-04-16 15:00:00+00:00,47.54766143388898,133.53811296326265,61.9998381615148,34.82974591357825,0.0,0.0,586.6138533743324,4.769218320116523,23.701569833306362,IT_SICI,2026-04-23
2026-04-16 16:00:00+00:00,17.33621755253399,159.8399258343634,69.5182323856613,32.24536464771323,0.0,0.0,948.2911001236095,6.587762669962917,28.431396786155748,IT_SICI,2026-04-23
2026-04-16 17:00:00+00:00,0.5711329539575789,215.50750129332644,74.43766166580446,44.35799275737196,0.0,0.0,1098.8598034143818,7.04397309881014,31.221934816347648,IT_SICI,2026-04-23
2026-04-16 18:00:00+00:00,0.0,220.41579213554178,67.83379694019472,46.51460361613352,0.0,0.0,1024.2022379567582,5.638133771652547,28.895435579719308,IT_SICI,2026-04-23
2026-04-16 19:00:00+00:00,0.0,251.10794467873976,75.99085214586951,42.711485983626886,0.0,0.0,1029.8807057802035,5.872829322748698,29.18618208881171,IT_SICI,2026-04-23
2026-04-16 20:00:00+00:00,0.0,321.5696756165715,81.54088203134492,45.17288300328028,0.0,0.0,1088.9344551087354,6.8907787632122455,31.39132547685579,IT_SICI,2026-04-23
2026-04-16 21:00:00+00:00,0.0,327.96446218167995,74.94811858608894,41.81502597238059,0.0,0.0,918.8674775117192,5.847016343595592,29.057899404535664,IT_SICI,2026-04-23
2026-04-16 22:00:00+00:00,0.0,395.0647753361758,78.4591259429321,45.044768776648084,0.0,0.0,570.9978271564448,5.9075106592325355,30.27599212856674,IT_SICI,2026-04-23
2026-04-16 23:00:00+00:00,0.0,351.09877861291426,72.91134267167749,43.951229928254186,0.0,0.0,496.41040314315,5.451315339938503,27.426930304065596,IT_SICI,2026-04-23
2026-04-17 00:00:00+00:00,0.0,348.004132231405,72.90541781450872,23.166207529843895,0.0,0.0,450.7190082644628,5.4508723599632685,27.254361799816344,IT_SICI,2026-04-23
2026-04-17 01:00:00+00:00,0.0,325.1725812146893,66.21866172316385,20.099311440677965,0.0,0.0,440.78257415254234,5.297492937853107,24.929378531073446,IT_SICI,2026-04-23
2026-04-17 02:00:00+00:00,0.0,303.0142313420487,59.4282641072315,28.665397981135197,0.0,0.0,426.4851894754261,5.033923547906669,22.372993546251863,IT_SICI,2026-04-23
2026-04-17 03:00:00+00:00,0.0,256.6002100840336,51.3452731092437,18.54485294117647,0.0,0.0,549.6593487394958,4.415441176470588,20.18487394957983,IT_SICI,2026-04-23
2026-04-17 04:00:00+00:00,1.828693790149893,231.32976445396145,51.46466809421842,25.99357601713062,0.0,0.0,578.9122055674518,4.049250535331906,21.42184154175589,IT_SICI,2026-04-23
2026-04-17 05:00:00+00:00,26.114300100704934,180.03222557905337,45.48942598187311,33.695871097683785,0.0,0.0,527.5810674723061,3.8509566968781472,19.736153071500503,IT_SICI,2026-04-23
2026-04-17 06:00:00+00:00,48.564430837740055,127.3995964375174,30.762941831338715,22.149318118563876,0.0,0.0,344.79105204564434,2.3790008349568605,13.453659894238799,IT_SICI,2026-04-23
