,Solar,Wind Onshore,Wind Offshore,Biomass,Hydro Water Reservoir,Hydro Run-of-river and poundage,Storage,Nuclear,Fossil Hard coal,Fossil Gas,Fossil Oil,Waste,Other,bidding_zone,source_download_date
2026-02-26 04:00:00+00:00,0.0,245.402813238474,17.769740528483016,79.76839978990768,277.51983214110214,735.2758393718574,239.1390568684052,2256.4904385919594,0.0,278.30169609597885,1.6048332757405641,17.688979010139416,6.13837108795277,ES,2026-04-23
2026-02-26 05:00:00+00:00,0.0,166.69965847668306,10.608291323197399,72.63126580622162,231.99326219683886,647.3300549579469,345.71370773416487,1327.3059184309213,0.0,245.2442474439403,0.9386018025707469,10.128199038291763,6.081792789223455,ES,2026-04-23
2026-02-26 06:00:00+00:00,11.36423439739796,218.5227110713526,12.440642268205288,78.25773080816884,348.2578962533377,732.0419846967636,510.1890591421371,1715.166110106849,0.0,275.61042000528454,1.2095981972047651,12.945637287246702,6.293975766052494,ES,2026-04-23
2026-02-26 07:00:00+00:00,51.36371892985831,134.12265823367736,9.681870729995527,47.10481170430435,189.03369790746487,447.0468201262652,341.9028072403197,952.8106729845283,0.0,172.20395241676655,0.6675905871191021,7.228744733991002,3.98265440570958,ES,2026-04-23
2026-02-26 08:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ES,2026-04-23
2026-02-26 09:00:00+00:00,82.21512643150886,32.635090878886174,4.801571843489444,2.691527261414252,12.105860550219807,48.469443433666605,0.0,402.4921577663178,0.0,12.785019109945877,0.29717685497894686,3.232025869572285,0.0,ES,2026-04-23
2026-02-26 10:00:00+00:00,151.46670170076047,44.901530640263964,7.4491673134023975,3.8161302689096264,14.720245750747612,68.69639800425743,0.0,534.3480462224013,0.0,18.11226498771423,0.4224928594195183,4.567022252123633,0.0,ES,2026-04-23
2026-02-26 11:00:00+00:00,269.46137725562016,79.07114714436267,18.44949376119305,6.132817145147367,17.967379288869378,107.06728606931324,0.0,819.7765193372222,0.0,28.80329977114772,0.6760464727050953,7.444633754418865,0.0,ES,2026-04-23
2026-02-26 12:00:00+00:00,21.162071553501505,5.411924658121756,1.213790221849595,0.5687355008522693,2.0801854501309207,10.085379296935757,0.0,75.40374753636618,0.0,2.6406906662328957,0.06306304644719332,0.6954120695619286,0.0,ES,2026-04-23
2026-02-26 13:00:00+00:00,603.2296805657257,205.54018542833418,24.481027492214746,14.32463534350219,42.43989900394635,246.931695611291,0.0,1877.6113010600143,0.0,65.44468531331901,1.581280777542382,17.41560940410968,0.0,ES,2026-04-23
