,Solar,Wind Onshore,Biomass,Hydro Water Reservoir,Hydro Run-of-river and poundage,Other renewable,Storage,Nuclear,Fossil Gas,Waste,Other,bidding_zone,source_download_date
2026-01-03 03:00:00+00:00,0.0,38.893481339491736,0.0,137.4574064958302,0.07604422640903566,0.01786525066483668,0.0,0.0,0.04695815278596164,0.0,0.7082445348181886,SE_2,2026-04-23
2026-01-03 04:00:00+00:00,0.0,49.8282718580613,0.0,187.31831325117412,0.07037735250530683,0.016704283396075204,0.0,0.0,0.04429404096593716,0.0,0.9470392138972439,SE_2,2026-04-23
2026-01-03 05:00:00+00:00,0.0,48.56731359220682,0.0,206.30990568308812,0.6452991204900231,0.14507087399919458,0.0,0.0,0.3950754160639435,0.0,0.9873353141518926,SE_2,2026-04-23
2026-01-03 06:00:00+00:00,0.0,60.521629305949496,0.0,258.1701780586376,1.2142855651618685,0.25051064747589225,0.0,0.0,0.7318809740723599,0.0,1.1615154487028192,SE_2,2026-04-23
2026-01-03 07:00:00+00:00,0.0,75.21830181546592,0.0,287.9544156336009,0.0,0.0,0.0,0.0,0.0,0.0,1.3522825509332321,SE_2,2026-04-23
2026-01-03 08:00:00+00:00,2.7022296063793978e-05,104.45822535537997,0.0,389.7410358572248,0.0,0.0,0.0,0.0,0.0,0.0,1.800711765099103,SE_2,2026-04-23
2026-01-03 09:00:00+00:00,0.0005138353858871118,95.75928741761673,0.0,371.0024826387584,0.0,0.0,0.0,0.0,0.0,0.0,1.7127161082389208,SE_2,2026-04-23
2026-01-03 10:00:00+00:00,0.001149604822789378,112.22218254514698,0.0,427.3863152358082,0.0,0.0,0.0,0.0,0.0,0.0,1.9653526142220257,SE_2,2026-04-23
2026-01-03 11:00:00+00:00,0.0011693167683843881,117.20132952998641,0.0,492.71665214259673,0.05220146689327784,0.007256904028383336,0.0,0.0,0.031043351828280857,0.0,2.165347287898479,SE_2,2026-04-23
2026-01-03 12:00:00+00:00,0.00021649425888588448,121.66299000708862,0.0,553.3308927996536,0.0,0.0,0.0,0.0,0.0,0.0,2.405900698998834,SE_2,2026-04-23
2026-01-03 13:00:00+00:00,0.0,103.60383412695437,0.0,491.06933595298153,0.07389293216179814,0.008292880641394463,0.0,0.0,0.04446809838794677,0.0,2.1751760088730197,SE_2,2026-04-23
2026-01-03 14:00:00+00:00,0.0,100.02252212107247,0.0,508.1128196138765,0.3311485953276373,0.03926586282492815,0.0,0.0,0.19662865453532097,0.0,2.2226151523631277,SE_2,2026-04-23
2026-01-03 15:00:00+00:00,0.0,94.00739052281185,0.0,541.1795235010882,0.5631830251412508,0.06752727693799132,0.0,0.0,0.3406471033975309,0.0,2.3167285706231584,SE_2,2026-04-23
