,Solar,Wind Onshore,Biomass,Hydro Run-of-river and poundage,Other renewable,Storage,Fossil Gas,Waste,Fossil Coal-derived gas,Fossil Oil shale,Fossil Peat,Other,bidding_zone,source_download_date
2026-02-03 20:00:00+00:00,0.0,325.8351961785596,5.566612538840759,12.555278471374281,0.0,14.00361844892668,92.56963299356968,22.554354757631078,0.0,0.0,0.0,21.74030661109792,LV,2026-04-23
2026-02-03 21:00:00+00:00,0.0,204.05308896976004,3.447056708964721,15.38780181506273,0.0,0.0,56.195524455776784,14.040928266408214,0.0,0.0,0.0,13.650599784027465,LV,2026-04-23
2026-02-03 22:00:00+00:00,0.0,195.13347571579598,3.5210570566911716,4.6144469356572815,0.0,0.0,54.85293382730446,14.39436556055337,0.0,0.0,0.0,13.233720903997714,LV,2026-04-23
2026-02-03 23:00:00+00:00,0.0,59.40978115679825,1.0803806808102743,1.2886664276196502,0.0,0.0,18.292564095217504,4.432786317934408,0.0,0.0,0.0,3.0708213216199214,LV,2026-04-23
2026-02-04 00:00:00+00:00,0.0,84.21093158404456,1.5717394814272072,1.8775328852873452,0.0,0.0,29.815450022316977,6.457018017817093,0.0,0.0,0.0,4.31732800910683,LV,2026-04-23
2026-02-04 01:00:00+00:00,0.0,117.71420823265939,2.305478532538304,2.752817898617367,0.0,0.0,56.82250811514985,9.47228403134254,0.0,0.0,0.0,6.332703189692532,LV,2026-04-23
2026-02-04 02:00:00+00:00,0.0,235.13794574536234,4.9538327944567495,5.8837713395610916,0.0,0.0,121.69089142045623,20.36288336276048,0.0,0.0,0.0,16.77067533740313,LV,2026-04-23
2026-02-04 03:00:00+00:00,0.0,158.32804279380233,3.4402658854841524,4.059844598051555,0.0,0.0,84.1669729201733,14.073091581590143,0.0,0.0,0.0,9.806782220898548,LV,2026-04-23
2026-02-04 04:00:00+00:00,0.0,271.28270601895156,5.803556172793212,6.928638594888439,0.0,0.05644075486836585,121.04622693255676,23.815652387106095,0.0,0.0,0.0,16.016779138835613,LV,2026-04-23
2026-02-04 05:00:00+00:00,0.5284303309867479,260.4094377330208,4.967616092846032,6.695681510071289,0.0,69.28955177110959,143.21441379029073,23.00758949201092,0.0,0.0,0.0,17.062279279663873,LV,2026-04-23
2026-02-04 06:00:00+00:00,8.668744891356985,282.02889925762736,5.077443367492288,6.590474147930423,0.0,118.61680502714084,141.24016132143205,22.64838664677738,0.0,0.0,0.0,20.054085340242665,LV,2026-04-23
2026-02-04 07:00:00+00:00,29.557620972374103,264.6101955310111,4.825154525596712,6.088577253235012,0.0,105.62307887170012,132.01422813009344,20.916621145687145,0.0,0.0,0.0,21.664523570302407,LV,2026-04-23
2026-02-04 08:00:00+00:00,47.55349920212413,194.51590687593733,4.149036633504863,5.214714696591796,0.0,51.705052078899676,121.1277423263437,18.128951614445548,0.0,0.0,0.0,20.40509657215301,LV,2026-04-23
2026-02-04 09:00:00+00:00,62.22646619340561,185.32367877854986,4.345061901069627,5.392050358903805,0.0,50.44959188089402,115.46467468494758,18.687330430616804,0.0,0.0,0.0,19.83614577161275,LV,2026-04-23
2026-02-04 10:00:00+00:00,51.79648219128807,142.174204403869,3.6361838919800253,4.313416530106415,0.0,37.8309381052491,77.91466476250285,15.683199086430777,0.0,0.0,0.0,15.175911028573724,LV,2026-04-23
2026-02-04 11:00:00+00:00,28.47235523794291,88.31600677352674,2.2777750776328545,2.6461671190393825,0.0,11.666078932044202,36.833031315556894,9.631619919492517,0.0,0.0,0.0,8.156965624764496,LV,2026-04-23
2026-02-04 12:00:00+00:00,11.619366726126673,50.991860583743694,1.2721777428972172,1.4673835786926266,0.0,0.1835169203770229,21.76606472084699,5.355984394474681,0.0,0.0,0.0,4.693645332841083,LV,2026-04-23
2026-02-04 13:00:00+00:00,18.757228817662735,190.92729892588477,4.137762996725764,4.792952552839048,0.0,40.445835712640125,82.47719227873132,17.537272744447453,0.0,0.0,0.0,16.62445597106877,LV,2026-04-23
2026-02-04 14:00:00+00:00,4.95603689774946,267.21638122874714,4.941805793484999,11.225184727042679,0.0,48.17199730602728,98.63964876998452,20.98818259816111,0.0,0.0,0.0,20.48576267880278,LV,2026-04-23
2026-02-04 15:00:00+00:00,0.07464314328016236,402.36561976187517,6.174919993065149,13.977565788299017,0.0,59.94492064530143,102.97926568679895,26.09949979074677,0.0,0.0,0.0,25.6085651906333,LV,2026-04-23
2026-02-04 16:00:00+00:00,4.333968120318854e-06,370.695481411007,4.8752228742155586,11.084510947892278,0.0,0.03365841636231087,81.62635647013641,20.70023775712303,0.0,0.0,0.0,20.20952778929527,LV,2026-04-23
2026-02-04 17:00:00+00:00,0.0,424.3723050930542,5.490022885197715,12.457318089553771,0.0,0.0,89.5081629447902,23.026090801869074,0.0,0.0,0.0,22.521100185535033,LV,2026-04-23
2026-02-04 18:00:00+00:00,0.0,225.8215007525153,2.9750019309726192,6.828157145823504,0.0,0.0,49.36880880318633,12.595767977546798,0.0,0.0,0.0,11.460763389955465,LV,2026-04-23
2026-02-04 19:00:00+00:00,0.0,311.57115921762465,4.299006698968397,5.080618368232317,0.0,0.0,81.72116931553924,18.1779881343212,0.0,0.0,0.0,11.650058265314236,LV,2026-04-23
2026-02-04 20:00:00+00:00,0.0,504.2661285634525,7.3291502558065,8.590151780344033,0.0,0.0,123.32154667570624,30.90296782424892,0.0,0.0,0.0,20.390054900441754,LV,2026-04-23
2026-02-04 21:00:00+00:00,0.0,503.6862117887169,7.574555103249763,8.911836671281835,0.0,0.0,119.91824005835299,32.08255304643649,0.0,0.0,0.0,17.601603331962,LV,2026-04-23
2026-02-04 22:00:00+00:00,0.0,341.58973935184264,5.471638227670015,8.017626680518413,0.0,0.0,94.58207337380539,23.24181349428141,0.0,0.0,0.0,12.79710887188208,LV,2026-04-23
