,Solar,Wind Onshore,Wind Offshore,Biomass,Hydro Water Reservoir,Hydro Run-of-river and poundage,Other renewable,Storage,Nuclear,Fossil Hard coal,Fossil Gas,Fossil Oil,Waste,Fossil Peat,Other,bidding_zone,source_download_date
2026-03-24 17:00:00+00:00,0.030918790689692523,3070.8293117123035,0.0,0.0,1121.6828936339618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.45687586304489,SE_3,2026-04-23
2026-03-24 18:00:00+00:00,0.017932319134564008,3038.6991078126075,0.0,0.0,1124.102112373436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.80584749482188,SE_3,2026-04-23
2026-03-24 19:00:00+00:00,0.02743620251997699,2844.5644215809084,0.0,0.0,1107.6899394921038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.7432027244681,SE_3,2026-04-23
2026-03-24 20:00:00+00:00,0.038283765961560405,2769.7075405391274,0.0,0.0,1119.588845933049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.89032976186182,SE_3,2026-04-23
2026-03-24 21:00:00+00:00,0.03776171293405019,3064.0948806364613,0.0,0.0,1209.7527214147015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.21463623590357,SE_3,2026-04-23
2026-03-24 22:00:00+00:00,0.03175583175757589,2770.3107143200114,0.0,0.0,1150.780533563738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.80199628449318,SE_3,2026-04-23
2026-03-24 23:00:00+00:00,0.027390024355163096,2325.3814146745567,0.0,0.06834179422740823,1150.7701992187176,847.5621922436005,0.0,0.0,0.0,0.0,0.3012127930311221,0.0,12.992057505094948,0.0,52.02219174641655,SE_3,2026-04-23
2026-03-25 00:00:00+00:00,0.02936033625140415,2393.4041204692235,0.0,0.027275100498086537,1308.7298571481588,337.651736356573,0.0,0.0,0.0,0.0,0.12537551007535014,0.0,5.434432308259341,0.0,60.82284277096087,SE_3,2026-04-23
2026-03-25 01:00:00+00:00,0.03194147691893657,2836.3645051578874,0.0,0.0,1639.3101397445823,0.0,0.0,0.0,0.0,0.0,0.027603745485500743,0.0,0.0,0.0,78.34080987512536,SE_3,2026-04-23
2026-03-25 02:00:00+00:00,0.03895250484751013,1906.6106124315381,0.0,8.253491599055069e-06,1236.530735461834,0.10314443048186046,0.0,0.0,0.0,0.0,0.03283842462577261,0.0,0.0017177734349838134,0.0,59.7819907197458,SE_3,2026-04-23
2026-03-25 03:00:00+00:00,0.03985517382069944,1141.3104499139379,0.0,0.05130508083346968,884.3608892765625,640.9055670465129,0.0,0.0,0.0,0.0,0.24820256183425457,0.0,10.38831728330009,0.0,39.1204136631984,SE_3,2026-04-23
2026-03-25 04:00:00+00:00,0.021565369639204704,898.8088655798754,0.0,0.05685237295567485,923.3124415311822,712.36497305907,0.0,0.0,0.0,0.0,0.2685597872738455,0.0,11.677574196260569,0.0,35.46416810374309,SE_3,2026-04-23
2026-03-25 05:00:00+00:00,0.07907998318014377,285.4426914395049,0.0,0.21009875364501962,748.8074368406509,2592.4095239221992,0.0,0.0,0.0,0.0,0.9316676623078021,0.0,41.0218404768411,0.0,12.79766092167106,SE_3,2026-04-23
2026-03-25 06:00:00+00:00,2.014218663120826,1015.9220441837756,0.0,0.027630700960552975,2883.244840592913,341.31400297466786,0.0,0.0,0.0,0.0,0.14167091179923605,0.0,5.296132221185853,0.0,66.13945975157755,SE_3,2026-04-23
2026-03-25 07:00:00+00:00,4.48320934422436,586.386817143861,0.0,0.09448027194579862,2289.8889973242162,1130.1055193799739,0.0,0.0,0.0,0.0,0.47565364618793593,0.0,19.119436694328652,0.0,52.795886195261836,SE_3,2026-04-23
2026-03-25 08:00:00+00:00,14.986053304594533,790.4628478516812,0.0,0.1303534203504478,1628.621721166336,1518.6651010806117,0.0,0.0,0.0,0.0,0.845010215160262,0.0,25.083356305417933,0.0,68.55555665584768,SE_3,2026-04-23
2026-03-25 09:00:00+00:00,28.63947627788778,480.59804733050635,29.63779204424574,1.5227079097706993,1330.3408010117905,1380.9284333317323,0.0,0.0,0.0,1.6641601802936206,0.8377108656136619,0.011668926355511932,22.25089037048533,0.0,41.493311751318856,SE_3,2026-04-23
2026-03-25 10:00:00+00:00,133.35212433131136,539.7885871854364,214.3018027995785,9.714212895054558,720.1931956484632,1891.9512083893221,0.0,0.0,0.0,12.733796915672098,1.7160902272762997,0.09230585688885681,36.824440660768005,0.0,10.207235090228876,SE_3,2026-04-23
2026-03-25 11:00:00+00:00,138.3927535013378,699.3300296170743,202.51061353969604,9.131305970319978,1814.8197904157712,647.3649804076822,0.0,0.0,0.0,12.220772697876974,1.192842983059589,0.08831734727774844,16.090942652250796,0.0,42.30765086765367,SE_3,2026-04-23
2026-03-25 12:00:00+00:00,155.0273747903326,909.4413696966583,194.44772290212777,8.92995036342548,2933.2723206125775,0.0,0.0,0.0,0.0,12.115355747524427,0.888063356764245,0.08862483313973424,5.450852544299919,0.0,75.3383651531507,SE_3,2026-04-23
2026-03-25 13:00:00+00:00,115.27238540395601,847.0114086547399,135.95850493642598,6.112396605985646,2212.64811000027,74.57173373683875,0.0,0.0,0.0,8.282156719596676,0.7284851520150997,0.06020821128971875,4.801440556622764,0.0,67.82817002225903,SE_3,2026-04-23
2026-03-25 14:00:00+00:00,4.594194201950821,388.0791978703942,0.0,0.269137050829689,1549.4675796561958,1636.6948739376446,0.0,0.0,0.0,0.0,0.5923874493014836,0.0,27.335163275507465,0.0,30.992466558175696,SE_3,2026-04-23
2026-03-25 15:00:00+00:00,1.347143671386748,654.2414495567882,0.0,0.0463815700132988,3501.770433036334,285.72483658178515,0.0,0.0,0.0,0.0,0.10752086047370206,0.0,4.641962493195547,0.0,74.8702722300239,SE_3,2026-04-23
2026-03-25 16:00:00+00:00,0.11658706128926848,659.8514208786443,0.0,0.04307397809374645,3586.6413824920987,266.55931896779134,0.0,0.0,0.0,0.0,0.10092693554001882,0.0,4.14326473890326,0.0,75.09402494763907,SE_3,2026-04-23
2026-03-25 17:00:00+00:00,0.017286904161833313,680.1064342927912,0.0,0.024995191427601118,3364.052536113467,154.37175225916317,0.0,0.0,0.0,0.0,0.058978581740573,0.0,2.1984323470574174,0.0,74.74458431019144,SE_3,2026-04-23
2026-03-25 18:00:00+00:00,0.02691262182883293,849.9239480117188,0.0,0.0,3856.777782318522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.07135704793053,SE_3,2026-04-23
2026-03-25 19:00:00+00:00,0.04819829702358533,1155.9283739992593,0.0,0.0,4551.179176419001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.24425128471624,SE_3,2026-04-23
2026-03-25 20:00:00+00:00,0.03538480936353184,947.3764678158778,0.0,0.024323585513928863,3188.124855381416,147.69842436400066,0.0,0.0,0.0,0.0,0.05351176651271593,0.0,2.198399529341719,0.0,74.66363274797426,SE_3,2026-04-23
2026-03-25 21:00:00+00:00,0.02283833283401138,694.9923395335437,0.0,0.1978684601387893,2023.3865443305767,1235.22297603961,0.0,0.0,0.0,0.0,0.4353096229630357,0.0,18.315782311547366,0.0,36.901341368786404,SE_3,2026-04-23
2026-03-25 22:00:00+00:00,0.0,437.08653384874737,0.0,0.42198450185810915,1056.6908652047055,2652.4421341413745,0.0,0.0,0.0,0.0,0.9283637941653307,0.0,37.98011850914961,0.0,0.0,SE_3,2026-04-23
2026-03-25 23:00:00+00:00,0.036475659110858386,1341.6471891438082,0.0,0.0,2483.461387259911,0.0,0.0,0.0,0.0,0.0,0.0006723623799236569,0.0,0.0,0.0,71.25427557478946,SE_3,2026-04-23
2026-03-26 00:00:00+00:00,0.03623514011344976,1650.0033402060483,0.0,0.0,2700.627032585995,0.0,0.0,0.0,0.0,0.0,0.01120674436498446,0.0,0.0,0.0,79.24718532347838,SE_3,2026-04-23
2026-03-26 01:00:00+00:00,0.03522910523240974,1750.0024294205166,0.0,0.0,2561.255828657299,0.0,0.0,0.0,0.0,0.0,0.02923266178859531,0.0,0.0,0.0,74.97728015516411,SE_3,2026-04-23
2026-03-26 02:00:00+00:00,0.04815660442507513,1718.8783031660175,0.0,0.0,2382.436121293243,0.0,0.0,0.0,0.0,0.0,0.04489788683240086,0.0,0.0,0.0,75.79252104948168,SE_3,2026-04-23
2026-03-26 03:00:00+00:00,0.052274379261553316,1868.4734020600097,0.0,0.0,2612.4160340005824,0.0,0.0,0.0,0.0,0.0,0.050309177033675365,0.0,0.0,0.0,83.00798038311369,SE_3,2026-04-23
2026-03-26 04:00:00+00:00,0.034840935779060896,1952.2182276004155,0.0,0.0,3006.683556541955,0.0,0.0,0.0,0.0,0.0,0.05121197789211361,0.0,0.0,0.0,86.71216294395784,SE_3,2026-04-23
2026-03-26 05:00:00+00:00,2.102193256632305,1812.70280779958,45.06751831698617,10.632488396513807,2525.900377829979,0.0,0.0,0.0,0.0,2.830350160977175,0.22774714912731053,0.11148746813984223,1.7422605167229408,0.0,80.33276910534137,SE_3,2026-04-23
2026-03-26 06:00:00+00:00,11.350769408032981,1808.5948215507256,29.979138269317012,8.179444459078551,2989.8744357764294,0.0,0.0,0.0,0.0,2.871707033289403,0.4206519247309374,0.09318272614381264,1.1830853670132644,0.0,83.0527634852385,SE_3,2026-04-23
2026-03-26 07:00:00+00:00,12.666708011643872,1802.3720504257922,0.0,0.0,3778.8916137691986,0.0,0.0,0.0,0.0,0.0,0.021454224123887356,0.0,0.0,0.0,89.57317356924003,SE_3,2026-04-23
2026-03-26 08:00:00+00:00,19.530798393946654,1482.7675677672612,0.0,0.0,3512.297979429105,0.0,0.0,0.0,0.0,0.0,0.03813600418628859,0.0,0.0,0.0,82.2655184055004,SE_3,2026-04-23
2026-03-26 09:00:00+00:00,27.87424775557856,1539.546499027055,0.0,0.0,3613.6013977364223,0.0,0.0,0.0,0.0,0.0,0.031386198136540984,0.0,0.0,0.0,84.37146928280868,SE_3,2026-04-23
2026-03-26 10:00:00+00:00,29.286853571791486,1556.3528179434848,0.0,0.0,3212.5857114838113,0.0,0.0,0.0,0.0,0.0,0.0015153434568077606,0.0,0.0,0.0,83.69810165745564,SE_3,2026-04-23
2026-03-26 11:00:00+00:00,25.697353831203216,1542.072512467492,0.0,0.0,2317.619929969247,0.0,0.0,0.0,0.0,0.0,0.01578047558543526,0.0,0.0,0.0,71.21942325647152,SE_3,2026-04-23
2026-03-26 12:00:00+00:00,25.03891853593322,1875.1088010528797,0.0,0.0,2241.2645741514407,0.0,0.0,0.0,0.0,0.0,0.009263051371778283,0.0,0.0,0.0,71.6534432083744,SE_3,2026-04-23
2026-03-26 13:00:00+00:00,17.17554486359527,1893.2227941730457,0.0,0.0,2198.736202806375,0.0,0.0,0.0,0.0,0.0,0.009550547174922997,0.0,0.0,0.0,67.68090760980932,SE_3,2026-04-23
2026-03-26 14:00:00+00:00,12.58914317182979,2297.887925629168,0.0,0.0,2829.85530803689,0.0,0.0,0.0,0.0,0.0,0.00984556968958129,0.0,0.0,0.0,72.83277759242205,SE_3,2026-04-23
2026-03-26 15:00:00+00:00,6.670443963471094,2564.056084354486,0.0,0.0,2991.0445360680114,0.0,0.0,0.0,0.0,0.0,0.011641898381842106,0.0,0.0,0.0,75.76729371565058,SE_3,2026-04-23
2026-03-26 16:00:00+00:00,1.432209538085735,2950.298280215018,0.0,0.0,3059.9599252441135,0.0,0.0,0.0,0.0,0.0,0.013972775981324242,0.0,0.0,0.0,83.44561222680144,SE_3,2026-04-23
2026-03-26 17:00:00+00:00,0.0902853210410572,3240.0038345390058,0.0,0.0,2959.2299792921544,0.0,0.0,0.0,0.0,0.0,0.00873088818858575,0.0,0.0,0.0,86.76716995961115,SE_3,2026-04-23
2026-03-26 18:00:00+00:00,0.041653098118747955,3285.5365032782934,0.0,0.0,2726.3544748191903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.16736880439804,SE_3,2026-04-23
2026-03-26 19:00:00+00:00,0.052331610858076305,3182.87008155768,0.0,0.0,2512.642738853102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.15984797836101,SE_3,2026-04-23
2026-03-26 20:00:00+00:00,0.05478672058821984,3057.7005484429565,0.0,0.0,2345.0380442322403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.23162060421438,SE_3,2026-04-23
2026-03-26 21:00:00+00:00,0.054169131138353255,2862.2988366069344,0.0,0.0,2222.9827133273916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.26428093453589,SE_3,2026-04-23
2026-03-26 22:00:00+00:00,0.05222564921456407,2842.392123986275,0.0,0.0,2090.0769647508946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.30368561361547,SE_3,2026-04-23
2026-03-26 23:00:00+00:00,0.042179144613874134,3249.168265636464,0.0,0.0,2218.5818613477295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.40769387119298,SE_3,2026-04-23
2026-03-27 00:00:00+00:00,0.035498035752846616,3247.026504579821,0.0,0.0,2204.2731574759177,0.0,0.0,0.0,0.0,0.0,0.01743763159788957,0.0,0.0,0.0,88.79740227691023,SE_3,2026-04-23
2026-03-27 01:00:00+00:00,0.025899546846056217,3185.606665948525,0.0,0.0,2223.4744257954203,0.0,0.0,0.0,0.0,0.0,0.039267054895633625,0.0,0.0,0.0,93.6287416543127,SE_3,2026-04-23
2026-03-27 02:00:00+00:00,0.04356262622080336,3171.560230394494,0.0,0.0,2358.030146039171,0.0,0.0,0.0,0.0,0.0,0.05488890903821224,0.0,0.0,0.0,93.8861720310754,SE_3,2026-04-23
2026-03-27 03:00:00+00:00,0.04350300370185247,3087.8665239553493,0.0,0.0,2602.5974691720853,0.0,0.0,0.0,0.0,0.0,0.055612087206491814,0.0,0.0,0.0,97.6868917816582,SE_3,2026-04-23
2026-03-27 04:00:00+00:00,0.04946317165397935,2863.1892490110563,0.0,0.00018256963134347825,3247.270265012619,0.7903966653682556,0.0,0.0,0.0,0.0,0.05487869073416652,0.0,0.011574639403457272,0.0,97.78399023953378,SE_3,2026-04-23
2026-03-27 05:00:00+00:00,2.2327479234482563,2520.63657116763,0.0,0.00898439425203882,4177.969495047825,38.83731882337454,0.0,0.0,0.0,0.0,0.07937370767254684,0.0,0.4699074782864941,0.0,111.44060145751124,SE_3,2026-04-23
2026-03-27 06:00:00+00:00,10.952310382373444,1792.792670749531,0.0,0.0046326532893249455,4771.914174174059,20.09552842239658,0.0,0.0,0.0,0.0,0.03775371877531082,0.0,0.193564947898009,0.0,118.00936495167679,SE_3,2026-04-23
2026-03-27 07:00:00+00:00,22.940273058907856,1057.9597885975256,0.0,0.0,5305.286723560076,0.0,0.0,0.0,0.0,0.0,0.023971027229788777,0.0,0.0,0.0,123.48924375625997,SE_3,2026-04-23
2026-03-27 08:00:00+00:00,36.82081295478193,492.566371637355,0.0,0.0,5162.735592196617,0.0,0.0,0.0,0.0,0.0,0.04689989310802937,0.0,0.0,0.0,115.45532331813808,SE_3,2026-04-23
2026-03-27 09:00:00+00:00,44.119344603322,286.07952346802216,0.0,0.0,4790.5394863965375,0.0,0.0,0.0,0.0,0.0,0.03418116955515941,0.0,0.0,0.0,101.85246436256371,SE_3,2026-04-23
2026-03-27 10:00:00+00:00,43.016132424197245,324.7971752903051,0.0,0.0,4159.868035145532,0.0,0.0,0.0,0.0,0.0,0.00394182331897984,0.0,0.0,0.0,94.06471531664566,SE_3,2026-04-23
2026-03-27 11:00:00+00:00,37.75686218103177,520.1320449994915,0.0,0.0,3456.3213686738304,0.0,0.0,0.0,0.0,0.0,0.01631619380231937,0.0,0.0,0.0,75.79840795184359,SE_3,2026-04-23
2026-03-27 12:00:00+00:00,31.47426063234052,700.1094897582792,0.0,0.0,3101.031909140905,0.0,0.0,0.0,0.0,0.0,0.007933597774457488,0.0,0.0,0.0,64.90140687070135,SE_3,2026-04-23
2026-03-27 13:00:00+00:00,22.425007148110325,903.711485962129,0.0,0.0,2861.9893126451134,0.0,0.0,0.0,0.0,0.0,0.008542588672655595,0.0,0.0,0.0,58.54065165597426,SE_3,2026-04-23
2026-03-27 14:00:00+00:00,13.972982264401745,1121.9513359655248,0.0,0.0,2846.085042060875,0.0,0.0,0.0,0.0,0.0,0.00792247495956684,0.0,0.0,0.0,62.13271723423862,SE_3,2026-04-23
2026-03-27 15:00:00+00:00,6.810854685283123,1608.0859244299058,0.0,0.0,3513.3916517622465,0.0,0.0,0.0,0.0,0.0,0.011006886012275133,0.0,0.0,0.0,75.90056223655232,SE_3,2026-04-23
2026-03-27 16:00:00+00:00,1.3082662167043775,2118.046528008549,0.0,0.0,3699.145866023018,0.0,0.0,0.0,0.0,0.0,0.013066329255474433,0.0,0.0,0.0,78.33627342247352,SE_3,2026-04-23
2026-03-27 17:00:00+00:00,0.048613112363411225,2737.9515463764487,0.0,0.0,3563.013289408264,0.0,0.0,0.0,0.0,0.0,0.008555907775960376,0.0,0.0,0.0,84.90299519514716,SE_3,2026-04-23
2026-03-27 18:00:00+00:00,0.02892439699604749,3020.8661154801403,0.0,0.0,3333.6332318818218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.24672824104239,SE_3,2026-04-23
2026-03-27 19:00:00+00:00,0.03983210984936867,3042.1123909844596,0.0,0.0,3205.3572320553512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.36554485033922,SE_3,2026-04-23
2026-03-27 20:00:00+00:00,0.04586215319915039,3007.5661669628926,0.0,0.0,3087.269277004499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.36869387940996,SE_3,2026-04-23
2026-03-27 21:00:00+00:00,0.04349262744053588,2807.432082432375,0.0,0.0,2925.504939106803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.54448583338107,SE_3,2026-04-23
2026-03-27 22:00:00+00:00,0.042130693844041174,2622.4934367362357,0.0,0.0,2522.227161336517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.93727123340261,SE_3,2026-04-23
2026-03-27 23:00:00+00:00,0.028966173827219308,1922.044750793786,0.0,0.0,2030.6292367899698,0.0,0.0,0.0,0.0,0.0,0.003188936568134236,0.0,0.0,0.0,56.8438573058488,SE_3,2026-04-23
2026-03-28 00:00:00+00:00,0.026903213621584033,1978.6650745679638,0.0,0.0,2095.0030295255847,0.0,0.0,0.0,0.0,0.0,0.015531752193904185,0.0,0.0,0.0,59.43946094063582,SE_3,2026-04-23
2026-03-28 01:00:00+00:00,0.02060716755001652,1951.075614326873,0.0,0.0,2119.4213529872695,0.0,0.0,0.0,0.0,0.0,0.0304873163753669,0.0,0.0,0.0,60.501938201932404,SE_3,2026-04-23
2026-03-28 02:00:00+00:00,0.03137360723606186,1964.2565802127947,0.0,0.0,2197.432997893951,0.0,0.0,0.0,0.0,0.0,0.03764832868327423,0.0,0.0,0.0,64.06639995733528,SE_3,2026-04-23
2026-03-28 03:00:00+00:00,0.031099466219539563,1952.8661321726843,0.0,0.0,2231.6693405184883,0.0,0.0,0.0,0.0,0.0,0.037807194227675554,0.0,0.0,0.0,65.37062064838071,SE_3,2026-04-23
2026-03-28 04:00:00+00:00,0.013633159671064139,2011.6025420266762,0.0,0.0,2362.932114162161,0.0,0.0,0.0,0.0,0.0,0.03913518776164294,0.0,0.0,0.0,65.8375754637305,SE_3,2026-04-23
