,Solar,Wind Onshore,Biomass,Hydro Water Reservoir,Hydro Run-of-river and poundage,Geothermal,Other renewable,Storage,Fossil Brown coal/Lignite,Fossil Hard coal,Fossil Gas,Fossil Oil,Other,bidding_zone,source_download_date
2026-03-27 12:00:00+00:00,4.504302782187316,19.60854515267362,2.8174378307057957,107.33117296903616,64.15927953012526,0.0,0.0,0.05636783914000055,277.6940681261983,0.0,1.7338078958189511,0.0,2.095017874114566,ME,2026-04-23
2026-03-27 13:00:00+00:00,3.0417026580797533,15.937977050097555,2.444677583523105,108.24861933763415,50.76668224113041,0.0,0.0,0.05532654690182271,257.3269337240531,0.0,1.4056896105257852,0.0,1.772391248054251,ME,2026-04-23
2026-03-27 14:00:00+00:00,2.0380011756597884,13.03090595182427,2.2527252957631294,116.95209072412057,56.273420479010795,0.0,0.0,0.319687643557853,239.3440802686426,0.0,1.2336352810131421,0.0,1.555453180407875,ME,2026-04-23
2026-03-27 15:00:00+00:00,1.4567053350999437,7.728448956591365,0.7176012093527359,96.25446565668554,30.600812635230447,0.0,0.0,20.022132751957223,135.33534824355493,0.0,0.40052160522013164,0.0,0.48396360630765906,ME,2026-04-23
2026-03-27 16:00:00+00:00,0.4834884694439088,6.886064768184049,1.6542338105714138,97.16912737489291,72.57070184350994,0.0,0.0,25.865380449135706,182.37053449008266,0.0,0.8848227358870352,0.0,1.1156460582923489,ME,2026-04-23
2026-03-27 17:00:00+00:00,0.0,5.646104939566978,0.9675269338578885,77.27639681613579,50.01444988946172,0.0,0.0,18.446555301510983,127.47893354828963,0.0,0.5175144064821264,0.0,0.652518164694855,ME,2026-04-23
2026-03-27 18:00:00+00:00,0.0,8.556046521860118,1.4263796595696359,70.96262973546388,65.52321049687333,0.0,0.0,20.026568897259885,141.74706882950358,0.0,0.7961188797597968,0.0,0.9619769797097544,ME,2026-04-23
2026-03-27 19:00:00+00:00,0.0,11.465327443815713,1.4715599400988544,104.31434027488721,73.54234820156478,0.0,0.0,26.48159954238428,179.7977818185483,0.0,0.9109656772040527,0.0,1.016077101496828,ME,2026-04-23
2026-03-27 20:00:00+00:00,0.0,12.742038463120018,1.292634108135529,118.25987697998856,58.31571562739868,0.0,0.0,33.19935146194816,193.3129862023551,0.0,0.9848640823889745,0.0,0.8925330746650082,ME,2026-04-23
2026-03-27 21:00:00+00:00,0.0,12.373365165889426,1.1648830381664932,104.20111958888745,41.980785786553184,0.0,0.0,20.750748414426795,189.76756755811758,0.0,0.9375887868169336,0.0,0.8239416611421536,ME,2026-04-23
